Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-10-26,142.51,143.75,141.38,141.81,5840967.0,0.0,1.0,135.14189376142735,136.31778280966375,134.07031745134097,134.47808542774553,5840967.0
2017-10-25,141.16,143.23,140.9594,142.42,4856522.0,0.0,1.0,133.86169197504094,135.8246680475001,133.67146347256013,135.05654697566825,4856522.0
2017-10-24,143.38,143.38,140.93,141.64,6585715.0,0.0,1.0,135.96691269043194,135.96691269043194,133.6435835225455,134.31687483242277,6585715.0
2017-10-23,142.13,144.3523,142.081,143.62,6685402.0,0.0,1.0,134.78154066600007,136.88894246591602,134.73507408264234,136.19450411912285,6685402.0
2017-10-20,142.38,143.62,141.83,142.4,5634523.0,0.0,1.0,135.01861507088645,136.19450411912285,134.49705138013644,135.03758102327737,5634523.0
2017-10-19,140.71,142.98,140.535,142.04,9181001.0,0.0,1.0,133.4349580462455,135.58759364261374,133.26900596282502,134.69619388024097,9181001.0
2017-10-18,140.79,141.58,140.07,140.68,6827734.0,0.0,1.0,133.51082185580913,134.25997697525008,132.82804756973636,133.40650911765914,6827734.0
2017-10-17,137.67,141.12,137.06,140.79,11717122.0,0.0,1.0,130.55213328282719,133.82376007025914,129.97367173490446,133.51082185580913,11717122.0
2017-10-16,136.45,137.26,135.54,136.12,5120140.0,0.0,1.0,129.3952101869817,130.16333125881354,128.53225935319531,129.08227197253171,5120140.0
2017-10-13,136.6,137.42,136.34,136.43,4106435.0,0.0,1.0,129.53745482991354,130.31505887794083,129.2908974488317,129.3762442345908,4106435.0
2017-10-12,136.34,137.52,136.02,136.83,5172806.0,0.0,1.0,129.2908974488317,130.4098886398954,128.98744221057717,129.755563282409,5172806.0
2017-10-11,134.88,137.08,134.37,136.65,8269237.0,0.0,1.0,127.90638292429529,129.99263768729537,127.4227511383271,129.5848697108908,8269237.0
2017-10-10,133.56,134.13,132.92,133.9,4184563.0,0.0,1.0,126.65463006649526,127.19515970963617,126.04771958998613,126.97705125714073,4184563.0
2017-10-09,133.66,133.815,133.17,133.45,3751097.0,0.0,1.0,126.7494598284498,126.89644595947935,126.2847939948725,126.55031732834524,3751097.0
2017-10-06,133.0,133.25,132.48,133.22,2469473.0,0.0,1.0,126.12358339954979,126.36065780443616,125.63046863738612,126.33220887584979,2469473.0
2017-10-05,132.89,133.31,132.36,133.19,3741108.0,0.0,1.0,126.01927066139976,126.41755566160889,125.51667292304069,126.30375994726342,3741108.0
2017-10-04,132.4,133.18,132.1,132.89,3588862.0,0.0,1.0,125.5546048278225,126.29427697106797,125.27011554195884,126.01927066139976,3588862.0
2017-10-03,131.65,132.4,131.36,132.1,3900754.0,0.0,1.0,124.84338161316337,125.5546048278225,124.5683753034952,125.27011554195884,3900754.0
2017-10-02,130.16,131.33,130.02,131.22,4492936.0,0.0,1.0,123.43041816004059,124.53992637490883,123.29765649330425,124.43561363675882,4492936.0
2017-09-29,129.58,130.47,129.05,130.01,5734870.0,0.0,1.0,122.88040554070423,123.7243904220997,122.37780780234512,123.28817351710876,5734870.0
2017-09-28,129.91,130.27,129.29,129.47,3992591.0,0.0,1.0,123.19334375515422,123.53473089819062,122.60539923103602,122.77609280255422,3992591.0
2017-09-27,131.0,131.09,129.43,129.75,5795707.0,0.0,1.0,124.2269881604588,124.3123349462179,122.7381608977724,123.04161613602695,5795707.0
2017-09-26,131.5,131.94,130.82,130.94,4516193.0,0.0,1.0,124.70113697023154,125.11838792283156,124.05629458894062,124.17009030328607,4516193.0
2017-09-25,131.47,131.76,130.83,131.17,6017418.0,0.0,1.0,124.67268804164519,124.94769435131337,124.06577756513609,124.38819875578153,6017418.0
2017-09-22,131.99,132.39,131.2701,131.39,4334763.0,0.0,1.0,125.16580280380884,125.54512185162702,124.48312334749805,124.59682423208153,4334763.0
2017-09-21,133.31,133.82,131.3775,131.75,6051039.0,0.0,1.0,126.41755566160889,126.90118744757707,124.58497051183723,124.93821137511792,6051039.0
2017-09-20,133.25,134.29,132.34,133.22,8705460.0,0.0,1.0,126.36065780443616,127.34688732876346,125.49770697064976,126.33220887584979,8705460.0
2017-09-19,135.02,135.79,134.35,135.22,4903828.0,0.0,1.0,128.0391445910317,128.76933375808167,127.40378518593619,128.22880411494077,4903828.0
2017-09-18,134.44,135.77,134.11,135.38,5261593.0,0.0,1.0,127.48913197169529,128.7503678056908,127.17619375724529,128.38053173406803,5261593.0
2017-09-15,134.79,135.45,134.18,134.45,15522011.0,0.0,1.0,127.8210361385362,128.44691256743621,127.24257459061346,127.49861494789073,15522011.0
2017-09-14,132.14,134.47,131.99,134.18,6274100.0,0.0,1.0,125.30804744674064,127.51758090028164,125.16580280380884,127.24257459061346,6274100.0
